NO LOAD			Charger			Bulb
8.82, 45.66, 5.18			11.53, 68.44, 5.94			14.98, 64.10, 4.28
9.25, 56.90, 6.15			11.16, 45.43, 4.07			13.98, 55.30, 3.95
8.49, 59.78, 7.04			11.35, 58.45, 5.15			15.04, 73.27, 4.87
8.19, 38.54, 4.71			12.30, 58.93, 4.79			14.63, 60.36, 4.13
8.27, 53.51, 6.47			11.66, 67.89, 5.82			13.63, 56.98, 4.18
9.01, 51.91, 5.76			12.15, 61.52, 5.06			14.83, 73.25, 4.94
9.58, 52.99, 5.53			11.63, 51.85, 4.46			14.34, 63.30, 4.41
8.29, 50.31, 6.07			11.76, 67.21, 5.71			14.98, 69.92, 4.67
8.44, 52.07, 6.17			12.16, 57.30, 4.71			14.77, 66.14, 4.48
8.79, 49.15, 5.59			12.25, 51.38, 4.19			15.60, 76.15, 4.88
8.07, 50.48, 6.26			11.49, 57.81, 5.03			14.54, 69.02, 4.75
9.25, 55.68, 6.02			11.23, 53.61, 4.77			14.04, 77.12, 5.49
8.88, 50.62, 5.70			12.14, 58.16, 4.79			15.15, 72.17, 4.76
8.93, 47.32, 5.30			11.43, 51.48, 4.50			14.11, 81.83, 5.80
9.51, 52.85, 5.56			11.92, 56.97, 4.78			14.11, 67.83, 4.81
9.38, 47.13, 5.03			12.05, 58.61, 4.87			15.25, 67.01, 4.39
8.91, 52.06, 5.85			12.36, 65.16, 5.27			15.00, 65.06, 4.34
9.70, 55.17, 5.69			11.17, 56.52, 5.06			14.24, 69.82, 4.90
8.68, 54.30, 6.26			11.58, 55.62, 4.80			14.74, 63.91, 4.34
8.75, 47.55, 5.43			11.48, 57.83, 5.04			14.02, 52.60, 3.75
9.54, 52.65, 5.52			12.36, 54.94, 4.45			14.64, 69.22, 4.73
8.49, 49.75, 5.86			11.86, 63.10, 5.32			14.86, 75.01, 5.05
8.78, 49.38, 5.62			11.39, 59.56, 5.23			15.79, 91.06, 5.77
8.96, 54.81, 6.12			11.31, 45.62, 4.03			14.65, 62.04, 4.24
9.11, 58.92, 6.47			11.38, 53.45, 4.70			15.33, 83.45, 5.44
8.90, 48.55, 5.46			11.69, 67.18, 5.75			14.26, 64.91, 4.55
8.53, 46.71, 5.48			11.80, 64.45, 5.46			14.62, 61.54, 4.21
10.61, 57.13, 5.38			11.58, 53.99, 4.66			15.14, 73.37, 4.85
10.68, 58.48, 5.48			11.67, 56.72, 4.86			15.01, 68.21, 4.54
9.96, 57.99, 5.82			12.17, 59.83, 4.92			14.35, 58.14, 4.05
10.39, 56.81, 5.47			11.23, 51.22, 4.56			14.65, 74.18, 5.06
9.94, 51.07, 5.14			11.13, 56.01, 5.03			14.00, 112.08, 8.01
10.66, 56.10, 5.26			11.31, 60.24, 5.33			13.70, 68.83, 5.03
10.95, 56.39, 5.15			10.77, 50.59, 4.70			15.13, 64.46, 4.26
10.80, 60.41, 5.59			12.58, 70.16, 5.58			13.87, 86.28, 6.22
10.71, 57.56, 5.38			12.14, 58.76, 4.84			14.80, 93.75, 6.33
9.83, 58.50, 5.95			11.97, 52.08, 4.35			13.82, 70.75, 5.12
10.89, 52.13, 4.79			12.39, 67.61, 5.46			13.96, 100.86, 7.22
11.43, 66.62, 5.83			12.22, 49.83, 4.08			13.75, 66.41, 4.83
10.23, 56.30, 5.50			11.10, 65.37, 5.89			13.98, 63.11, 4.51
10.37, 57.46, 5.54			12.13, 65.18, 5.38			13.80, 73.04, 5.29
10.60, 63.06, 5.95			11.91, 61.70, 5.18			13.31, 58.95, 4.43
10.40, 58.83, 5.65			11.48, 57.12, 4.98			15.26, 71.66, 4.70
10.92, 64.48, 5.90			11.77, 63.89, 5.43			13.67, 62.41, 4.56
10.21, 49.30, 4.83			11.74, 46.47, 3.96			13.79, 59.28, 4.30
11.07, 60.93, 5.50			12.12, 59.07, 4.87			13.97, 67.09, 4.80
10.18, 55.62, 5.46			11.39, 46.87, 4.12			13.85, 75.13, 5.42
10.81, 57.61, 5.33						13.98, 73.15, 5.23
10.10, 58.28, 5.77			SET 2			13.48, 68.62, 5.09
10.27, 60.40, 5.88			9.27, 59.95, 6.47			14.15, 69.99, 4.95
11.16, 57.89, 5.19			9.40, 52.04, 5.53			14.20, 55.21, 3.89
11.00, 61.96, 5.63			10.04, 56.50, 5.63			14.37, 67.70, 4.71
11.48, 62.03, 5.40			11.02, 57.41, 5.21			13.39, 77.64, 5.80
10.38, 58.22, 5.61			12.40, 60.68, 4.89			14.27, 60.77, 4.26
9.99, 55.64, 5.57			12.17, 54.93, 4.51			15.04, 64.40, 4.28
10.77, 57.32, 5.32			12.00, 64.65, 5.39			13.42, 54.17, 4.04
11.58, 70.08, 6.05			11.41, 59.34, 5.20			14.00, 65.46, 4.67
11.41, 60.01, 5.26			12.10, 57.57, 4.76			13.95, 76.78, 5.50
10.76, 60.91, 5.66			14.28, 85.84, 6.01			14.03, 57.62, 4.11
11.18, 56.87, 5.09			12.75, 61.85, 4.85			13.82, 65.88, 4.77
10.66, 61.70, 5.79			14.10, 61.82, 4.39			14.95, 106.18, 7.10
9.63, 58.58, 6.08			12.83, 58.38, 4.55			15.05, 110.91, 7.37
10.37, 56.57, 5.45			11.79, 57.86, 4.91			14.59, 62.06, 4.25
11.61, 58.58, 5.04			12.76, 94.63, 7.42			14.70, 99.22, 6.75
11.07, 59.79, 5.40			11.73, 53.30, 4.54			14.54, 78.31, 5.39
13.07, 70.35, 5.38			11.42, 56.39, 4.94			14.79, 56.87, 3.84
12.33, 82.17, 6.67			11.82, 61.04, 5.16			14.84, 68.23, 4.60
10.64, 62.81, 5.90			12.30, 55.56, 4.52			14.44, 73.90, 5.12
12.60, 65.56, 5.20			11.79, 58.93, 5.00			14.33, 90.85, 6.34
10.54, 61.12, 5.80			11.67, 58.80, 5.04			14.25, 76.78, 5.39
11.61, 58.72, 5.06			11.68, 61.01, 5.22			14.21, 70.48, 4.96
10.74, 59.58, 5.55			11.72, 46.13, 3.94			15.57, 93.94, 6.04
11.59, 64.74, 5.59			11.76, 53.54, 4.55			14.13, 53.15, 3.76
10.93, 50.78, 4.64			11.02, 56.58, 5.13			14.86, 65.84, 4.43
9.96, 58.72, 5.89			11.96, 55.54, 4.65			15.22, 72.59, 4.77
11.28, 78.96, 7.00			11.51, 50.40, 4.38			14.87, 76.41, 5.14
10.27, 56.79, 5.53			12.03, 56.00, 4.65			14.75, 76.01, 5.15
10.52, 56.55, 5.38			11.43, 53.12, 4.65			14.87, 77.65, 5.22
11.06, 56.39, 5.10			11.81, 75.22, 6.37			13.24, 63.09, 4.76
11.36, 60.94, 5.36			11.35, 56.12, 4.95			14.85, 67.30, 4.53
11.02, 57.13, 5.18			11.21, 48.63, 4.34			14.56, 79.19, 5.44
10.68, 58.52, 5.48			11.46, 54.52, 4.76			13.88, 60.89, 4.39
10.96, 59.21, 5.40			11.08, 65.42, 5.91			15.83, 70.62, 4.46
10.49, 56.31, 5.37			11.36, 46.17, 4.07			15.51, 68.09, 4.39
10.45, 57.36, 5.49			11.96, 76.42, 6.39			15.32, 69.15, 4.51
10.19, 57.92, 5.68			12.34, 71.66, 5.81			14.99, 73.21, 4.89
9.40, 56.46, 6.01			11.70, 54.37, 4.65			14.99, 79.29, 5.29
10.33, 56.09, 5.43			11.65, 53.62, 4.60			13.66, 52.70, 3.86
10.19, 55.86, 5.48			11.17, 59.04, 5.28			15.65, 70.32, 4.49
10.67, 66.76, 6.26			11.17, 57.08, 5.11			14.83, 119.61, 8.06
10.06, 57.54, 5.72			12.20, 58.08, 4.76			14.85, 73.19, 4.93
10.42, 60.97, 5.85			11.36, 56.22, 4.95			15.39, 67.22, 4.37
10.46, 74.14, 7.09			12.46, 59.88, 4.81			16.13, 94.53, 5.86
10.49, 56.99, 5.44			12.87, 61.60, 4.78			15.77, 98.28, 6.23
9.66, 46.57, 4.82			13.04, 60.73, 4.66			14.77, 73.86, 5.00
10.25, 64.02, 6.25			12.05, 59.97, 4.98			13.74, 63.85, 4.65
9.33, 54.76, 5.87			12.50, 54.94, 4.40			15.41, 74.73, 4.85
9.88, 55.05, 5.57			13.17, 75.59, 5.74			15.28, 84.31, 5.52
10.60, 56.19, 5.30			11.99, 60.17, 5.02			13.81, 64.04, 4.64
9.99, 56.83, 5.69			12.65, 64.32, 5.08			15.10, 70.21, 4.65
10.23, 55.11, 5.38			11.84, 57.11, 4.82			14.11, 62.92, 4.46
10.88, 60.02, 5.52			11.94, 61.05, 5.11			14.57, 66.52, 4.56
9.99, 57.70, 5.77			11.23, 51.68, 4.60			14.94, 71.68, 4.80
10.21, 45.70, 4.48			12.92, 60.83, 4.71			15.74, 80.96, 5.14
9.98, 57.17, 5.73			11.48, 67.32, 5.87			14.39, 59.72, 4.15
9.85, 53.05, 5.38			11.99, 70.16, 5.85			15.04, 76.84, 5.11
10.58, 50.53, 4.78			11.75, 59.60, 5.07			15.01, 89.33, 5.95
9.19, 53.35, 5.80			12.20, 61.11, 5.01			13.97, 66.06, 4.73
9.42, 49.50, 5.25			12.25, 63.52, 5.19			14.72, 65.69, 4.46
10.04, 54.82, 5.46			11.06, 57.82, 5.23			14.76, 60.82, 4.12
10.41, 54.99, 5.28			11.67, 57.62, 4.94			14.51, 79.95, 5.51
10.00, 57.83, 5.78			11.02, 55.85, 5.07			14.42, 80.30, 5.57
10.14, 55.55, 5.48			12.52, 62.47, 4.99			15.39, 70.29, 4.57
10.05, 53.77, 5.35			11.65, 58.40, 5.01			15.76, 79.46, 5.04
9.99, 48.84, 4.89			11.29, 55.84, 4.95			14.45, 65.56, 4.54
9.73, 55.54, 5.71			11.49, 58.25, 5.07			14.50, 66.82, 4.61
9.13, 55.76, 6.10			10.84, 58.99, 5.44			13.75, 58.49, 4.26
9.05, 52.35, 5.79			11.28, 46.98, 4.16			15.01, 70.20, 4.68
10.20, 55.62, 5.45			11.33, 49.76, 4.39			14.23, 56.07, 3.94
9.50, 56.39, 5.94			12.03, 68.99, 5.74			14.86, 72.47, 4.88
9.12, 50.23, 5.51			11.77, 56.98, 4.84			13.97, 57.73, 4.13
9.45, 53.21, 5.63			12.05, 61.12, 5.07			14.46, 73.00, 5.05
9.24, 50.78, 5.50			11.79, 61.46, 5.21			15.33, 72.41, 4.72
9.84, 55.90, 5.68			11.45, 49.30, 4.31			15.42, 73.48, 4.77
8.91, 49.93, 5.60			11.30, 59.72, 5.28			15.00, 66.78, 4.45
9.19, 49.20, 5.35			12.00, 57.02, 4.75			14.03, 69.99, 4.99
9.40, 57.26, 6.09			11.89, 49.68, 4.18			14.51, 57.12, 3.94
9.39, 52.95, 5.64			11.62, 60.18, 5.18			14.77, 68.49, 4.64
8.68, 52.01, 5.99			11.73, 59.66, 5.09			14.54, 68.56, 4.71
			11.99, 57.85, 4.82			14.96, 72.62, 4.85
9.34, 54.52, 5.84			11.30, 60.41, 5.35			16.60, 96.97, 5.84
9.83, 59.42, 6.05			11.47, 58.56, 5.11			15.10, 77.66, 5.14
9.21, 57.38, 6.23			11.54, 64.27, 5.57			15.66, 103.57, 6.61
8.75, 46.43, 5.31			11.73, 72.49, 6.18			15.29, 92.24, 6.03
10.49, 59.47, 5.67			11.41, 61.18, 5.36			16.08, 76.99, 4.79
10.37, 56.45, 5.44			11.47, 61.96, 5.40			14.95, 77.36, 5.17
9.32, 52.34, 5.61			12.20, 58.65, 4.81			14.09, 70.15, 4.98
10.22, 65.58, 6.42			12.43, 73.40, 5.91			14.92, 115.01, 7.71
9.51, 49.69, 5.23			12.05, 62.78, 5.21			16.05, 100.08, 6.23
8.94, 52.76, 5.90			12.10, 58.70, 4.85			14.70, 62.78, 4.27
9.13, 49.64, 5.44			11.80, 55.95, 4.74			15.19, 79.07, 5.21
9.91, 49.85, 5.03			11.76, 57.07, 4.85			14.13, 64.87, 4.59
11.10, 65.07, 5.86			11.33, 56.71, 5.00			14.50, 72.47, 5.00
9.81, 57.29, 5.84			12.30, 58.71, 4.77			15.37, 78.62, 5.11
9.21, 52.23, 5.67			11.81, 60.28, 5.10			14.23, 68.81, 4.84
9.68, 56.88, 5.88			10.85, 51.31, 4.73			15.44, 64.17, 4.16
9.61, 51.47, 5.36			11.71, 54.96, 4.69			15.14, 62.46, 4.12
9.32, 56.79, 6.09			10.61, 54.10, 5.10			15.60, 80.44, 5.16
10.32, 56.37, 5.46			10.73, 53.85, 5.02			14.70, 68.96, 4.69
9.39, 57.67, 6.14			11.95, 58.05, 4.86			15.10, 66.58, 4.41
9.73, 53.66, 5.52			11.64, 61.29, 5.26			15.02, 87.49, 5.82
9.62, 57.13, 5.94			10.93, 54.30, 4.97			14.50, 65.26, 4.50
10.01, 53.75, 5.37			12.29, 59.54, 4.84			14.62, 98.66, 6.75
10.23, 56.03, 5.48			11.51, 53.79, 4.67			14.59, 71.66, 4.91
10.11, 55.90, 5.53			11.05, 54.30, 4.91			14.77, 69.56, 4.71
10.27, 55.68, 5.42			11.81, 60.07, 5.08			15.20, 86.87, 5.71
9.90, 55.86, 5.64			11.31, 76.55, 6.77			15.01, 95.11, 6.34
9.42, 49.91, 5.30			12.17, 58.41, 4.80			16.00, 78.24, 4.89
9.11, 56.75, 6.23			12.28, 66.24, 5.39			14.43, 64.66, 4.48
			11.15, 61.66, 5.53			15.21, 72.62, 4.77
SET 2			11.88, 61.21, 5.15			14.87, 63.57, 4.28
9.65, 55.11, 5.71			11.57, 73.20, 6.32			14.43, 69.95, 4.85
10.37, 53.15, 5.12			12.21, 54.73, 4.48			14.01, 66.39, 4.74
10.19, 55.46, 5.44			10.78, 52.71, 4.89			14.12, 65.62, 4.65
10.17, 43.60, 4.29			11.08, 58.41, 5.27
10.13, 56.09, 5.54			11.54, 52.16, 4.52			SET 4- After set 8 of no load
10.13, 57.88, 5.72			12.13, 70.08, 5.77			After I turned on bulb
9.27, 47.83, 5.16			11.63, 61.49, 5.29			14.53, 120.63, 8.30
10.32, 51.16, 4.96			12.10, 59.43, 4.91			15.86, 112.78, 7.11
9.69, 59.38, 6.13			11.69, 53.60, 4.58			13.54, 59.09, 4.36
10.09, 59.49, 5.90			11.82, 48.70, 4.12			15.12, 71.71, 4.74
9.83, 54.23, 5.51			11.85, 58.61, 4.95			15.71, 97.48, 6.20
10.26, 58.38, 5.69			12.53, 67.06, 5.35			15.05, 102.42, 6.80
10.29, 51.61, 5.01			11.57, 45.91, 3.97			16.29, 104.14, 6.39
9.50, 51.78, 5.45			12.20, 57.21, 4.69			15.72, 128.56, 8.18
10.66, 56.12, 5.26			12.38, 54.70, 4.42			16.84, 181.97, 10.81
10.28, 52.09, 5.07			12.49, 70.58, 5.65			14.66, 67.02, 4.57
11.02, 57.81, 5.25			12.88, 64.03, 4.97			15.67, 131.86, 8.41
10.24, 56.36, 5.50			12.72, 70.51, 5.54			15.66, 85.11, 5.43
11.24, 58.03, 5.16			12.54, 59.34, 4.73			14.75, 87.34, 5.92
10.12, 56.41, 5.57			12.62, 57.54, 4.56			14.95, 96.99, 6.49
9.81, 60.95, 6.21			12.51, 62.61, 5.00			14.20, 62.21, 4.38
10.50, 52.23, 4.98			13.56, 58.27, 4.30			14.47, 62.34, 4.31
10.14, 52.26, 5.15			12.77, 65.83, 5.16			16.10, 144.08, 8.95
10.18, 57.72, 5.67			12.53, 56.57, 4.51			16.29, 85.58, 5.25
10.85, 74.69, 6.89			12.34, 57.55, 4.66			15.23, 67.32, 4.42
10.82, 76.85, 7.10			13.58, 73.38, 5.40			14.68, 67.98, 4.63
9.69, 55.13, 5.69			13.19, 73.02, 5.54			15.30, 94.87, 6.20
10.03, 51.26, 5.11			11.94, 59.79, 5.01			15.64, 85.90, 5.49
11.61, 58.28, 5.02			11.32, 56.56, 4.99			15.28, 76.36, 5.00
9.96, 55.95, 5.62			12.31, 55.97, 4.55			14.73, 58.92, 4.00
11.10, 58.60, 5.28			12.15, 54.87, 4.52			14.36, 78.59, 5.47
10.55, 57.07, 5.41			12.28, 56.05, 4.57			15.14, 92.14, 6.09
10.33, 52.70, 5.10			11.85, 57.28, 4.83			16.63, 188.14, 11.32
11.28, 56.77, 5.03			12.02, 57.98, 4.82			14.38, 75.29, 5.24
9.94, 60.32, 6.07			13.13, 68.31, 5.20			14.36, 61.85, 4.31
10.45, 53.61, 5.13			11.88, 56.05, 4.72			15.56, 97.27, 6.25
9.52, 53.87, 5.66			12.04, 54.29, 4.51			15.42, 85.65, 5.55
11.91, 55.77, 4.68			12.44, 58.65, 4.72			13.97, 77.94, 5.58
9.90, 59.00, 5.96			11.78, 54.82, 4.65			16.03, 118.54, 7.39
10.76, 57.76, 5.37			11.72, 54.28, 4.63			13.80, 61.94, 4.49
10.31, 56.11, 5.44			12.88, 77.61, 6.02			15.06, 66.96, 4.45
9.42, 49.34, 5.24			13.13, 66.67, 5.08			15.15, 76.80, 5.07
10.53, 54.07, 5.14			12.10, 61.59, 5.09			16.24, 114.60, 7.06
10.83, 54.87, 5.07			11.96, 63.12, 5.28			15.10, 142.99, 9.47
10.17, 55.36, 5.44			12.24, 56.45, 4.61			15.48, 107.77, 6.96
10.09, 47.74, 4.73			11.92, 56.86, 4.77			15.17, 63.48, 4.18
11.48, 71.80, 6.26			11.72, 65.89, 5.62			15.17, 144.92, 9.55
11.24, 58.07, 5.17			11.69, 61.19, 5.24			14.43, 76.81, 5.32
10.53, 56.61, 5.38			11.90, 70.91, 5.96			14.74, 78.48, 5.32
11.41, 59.90, 5.25						14.99, 89.34, 5.96
10.52, 54.62, 5.19			SET 3- Just after set 5 of no load			14.90, 67.13, 4.51
10.56, 60.80, 5.76			9.88, 54.96, 5.56			14.51, 78.45, 5.41
11.23, 54.55, 4.86			10.08, 57.06, 5.66			14.26, 73.89, 5.18
10.84, 60.37, 5.57			12.90, 55.77, 4.32			15.91, 152.75, 9.60
12.06, 62.38, 5.17			13.01, 63.56, 4.88			14.16, 65.62, 4.64
10.50, 59.82, 5.70			12.94, 56.79, 4.39			14.12, 95.78, 6.78
10.73, 51.80, 4.83			13.99, 65.09, 4.65			16.53, 183.40, 11.10
10.39, 58.42, 5.63			13.81, 61.76, 4.47			15.75, 89.74, 5.70
9.99, 55.42, 5.55			12.41, 52.62, 4.24			15.10, 63.21, 4.19
10.91, 60.70, 5.56			13.24, 63.06, 4.76			14.33, 112.05, 7.82
10.90, 60.22, 5.53			11.97, 54.15, 4.52			15.32, 91.73, 5.99
10.52, 62.75, 5.97			13.57, 70.85, 5.22			15.23, 96.88, 6.36
10.37, 54.96, 5.30			12.87, 66.45, 5.16			15.07, 68.32, 4.53
10.40, 62.60, 6.02			12.36, 58.85, 4.76			16.40, 142.79, 8.71
10.92, 59.49, 5.45			13.12, 80.28, 6.12			14.75, 83.23, 5.64
10.90, 62.17, 5.70			12.04, 63.69, 5.29			15.59, 111.69, 7.16
9.71, 58.52, 6.03			13.04, 55.62, 4.27			14.72, 76.03, 5.17
10.22, 56.64, 5.54			12.37, 56.15, 4.54			14.72, 76.84, 5.22
10.74, 59.71, 5.56			13.08, 58.37, 4.46			15.78, 90.20, 5.72
9.80, 51.58, 5.26			13.40, 61.68, 4.60			14.16, 80.46, 5.68
10.24, 63.27, 6.18			13.34, 59.41, 4.45			14.16, 84.48, 5.97
10.34, 57.43, 5.55			13.48, 70.16, 5.20			14.70, 67.42, 4.59
10.00, 60.35, 6.03			13.96, 105.49, 7.56			14.57, 94.94, 6.52
10.54, 61.06, 5.79			12.92, 90.34, 6.99			14.97, 93.63, 6.25
9.91, 56.46, 5.70			12.72, 59.52, 4.68			15.41, 96.65, 6.27
10.12, 55.83, 5.51			12.75, 66.43, 5.21			13.89, 67.41, 4.85
11.14, 54.52, 4.90			13.04, 73.12, 5.61			14.38, 79.68, 5.54
10.74, 59.34, 5.52			12.51, 85.42, 6.83			14.25, 59.82, 4.20
9.74, 56.17, 5.77			13.44, 68.15, 5.07			13.06, 81.59, 6.25
11.29, 60.53, 5.36			13.17, 79.04, 6.00			15.44, 99.36, 6.44
10.50, 53.73, 5.12			12.31, 53.83, 4.37			15.51, 136.77, 8.82
11.32, 55.35, 4.89			13.01, 60.28, 4.63			14.80, 119.22, 8.05
11.21, 60.81, 5.43			13.21, 64.67, 4.90			14.22, 61.89, 4.35
10.64, 56.53, 5.31			12.52, 66.08, 5.28			14.17, 74.67, 5.27
10.24, 55.37, 5.41			11.84, 61.38, 5.18			14.57, 68.88, 4.73
9.95, 51.95, 5.22			13.13, 72.79, 5.54			14.46, 71.41, 4.94
10.31, 58.72, 5.69			13.89, 64.63, 4.65			15.09, 126.55, 8.38
9.10, 53.99, 5.94			13.51, 74.95, 5.55			14.33, 64.42, 4.50
10.48, 59.10, 5.64			13.60, 69.00, 5.07			14.28, 66.26, 4.64
10.20, 51.49, 5.05			13.29, 67.78, 5.10			14.85, 108.28, 7.29
8.76, 51.83, 5.92			12.90, 77.74, 6.03			13.98, 66.56, 4.76
10.27, 55.25, 5.38			13.20, 123.23, 9.34			14.66, 80.34, 5.48
10.17, 55.74, 5.48			12.72, 55.62, 4.37			13.67, 65.09, 4.76
10.09, 53.26, 5.28			12.21, 63.87, 5.23			14.37, 122.04, 8.49
8.65, 54.80, 6.33			12.60, 60.58, 4.81			14.52, 59.77, 4.12
10.69, 54.27, 5.08			12.80, 62.27, 4.86			14.19, 60.56, 4.27
9.26, 51.67, 5.58			12.28, 55.09, 4.49			14.13, 112.63, 7.97
9.69, 48.18, 4.97			12.79, 62.05, 4.85			14.76, 75.84, 5.14
9.63, 48.37, 5.02			13.54, 88.90, 6.57			15.05, 93.65, 6.22
9.78, 63.58, 6.50			12.68, 58.94, 4.65			14.76, 68.08, 4.61
9.56, 50.69, 5.30			13.31, 61.34, 4.61			14.68, 96.68, 6.59
9.33, 51.60, 5.53			12.23, 53.82, 4.40			13.66, 82.98, 6.08
9.74, 52.06, 5.34			12.47, 54.79, 4.39			14.65, 65.16, 4.45
10.20, 57.51, 5.64			13.51, 63.63, 4.71			14.51, 58.25, 4.01
9.46, 51.52, 5.45			12.75, 58.99, 4.63			14.12, 64.38, 4.56
10.34, 53.19, 5.14			13.01, 64.26, 4.94			14.28, 75.43, 5.28
10.23, 53.29, 5.21			11.08, 51.40, 4.64			15.19, 99.44, 6.55
10.20, 57.83, 5.67			11.61, 62.69, 5.40			14.15, 92.35, 6.53
8.91, 47.88, 5.37			11.93, 70.83, 5.94			14.65, 64.20, 4.38
8.98, 55.06, 6.13			12.17, 60.32, 4.96			14.40, 60.28, 4.19
9.75, 45.32, 4.65			12.45, 62.91, 5.05			14.19, 70.48, 4.97
9.75, 54.18, 5.56			12.31, 58.51, 4.75
10.27, 50.91, 4.96			10.96, 60.23, 5.49
9.09, 46.01, 5.06			11.20, 61.40, 5.48
10.71, 55.81, 5.21			11.62, 57.54, 4.95
10.26, 56.93, 5.55			12.45, 55.86, 4.49
9.80, 57.26, 5.84			12.28, 57.64, 4.69
9.69, 52.51, 5.42			13.10, 74.81, 5.71
10.04, 57.98, 5.77			12.60, 64.30, 5.10
9.72, 52.16, 5.36			13.15, 76.86, 5.85
10.04, 57.57, 5.73			12.01, 58.00, 4.83
9.33, 51.23, 5.49			12.63, 53.54, 4.24
9.73, 59.66, 6.13			12.00, 59.44, 4.95
10.42, 49.32, 4.73			11.91, 67.42, 5.66
9.57, 50.12, 5.24			12.57, 69.83, 5.56
9.90, 54.05, 5.46			12.64, 65.89, 5.21
10.64, 94.08, 8.84			11.45, 62.52, 5.46
9.42, 54.71, 5.81			12.14, 64.77, 5.33
10.15, 55.12, 5.43			12.41, 67.43, 5.43
10.14, 57.22, 5.65			12.13, 60.27, 4.97
10.20, 53.21, 5.22			14.15, 113.17, 8.00
8.79, 53.83, 6.13			13.56, 66.60, 4.91
9.96, 54.12, 5.43			12.37, 64.47, 5.21
9.38, 52.05, 5.55			12.83, 53.85, 4.20
9.42, 52.76, 5.60			12.15, 61.03, 5.02
8.71, 52.23, 5.99			12.64, 68.03, 5.38
8.72, 50.47, 5.79			12.49, 63.28, 5.07
9.59, 51.20, 5.34			13.14, 74.23, 5.65
9.16, 52.20, 5.70			12.32, 59.64, 4.84
9.68, 60.99, 6.30			13.29, 64.89, 4.88
8.84, 50.33, 5.69			12.26, 64.51, 5.26
8.89, 54.67, 6.15			12.55, 62.19, 4.96
9.15, 56.05, 6.13			13.15, 68.98, 5.25
8.85, 48.53, 5.48			12.17, 67.19, 5.52
10.29, 53.34, 5.18			12.76, 61.92, 4.85
9.06, 54.22, 5.98			13.16, 58.43, 4.44
10.25, 53.39, 5.21			12.29, 47.09, 3.83
8.80, 52.38, 5.95			13.31, 76.03, 5.71
9.03, 54.28, 6.01			11.84, 50.51, 4.26
9.25, 48.43, 5.23			12.96, 61.59, 4.75
10.42, 53.15, 5.10			12.70, 79.70, 6.28
9.42, 54.63, 5.80			11.62, 65.71, 5.65
8.56, 58.08, 6.78			12.10, 57.16, 4.72
9.38, 51.21, 5.46			12.64, 53.62, 4.24
9.22, 50.84, 5.52			13.80, 60.51, 4.39
10.03, 47.83, 4.77			12.41, 61.28, 4.94
10.05, 50.92, 5.07			13.06, 58.43, 4.47
9.53, 53.86, 5.65			13.33, 74.28, 5.57
10.24, 63.72, 6.22			12.65, 64.09, 5.07
9.52, 54.52, 5.73			13.13, 85.85, 6.54
9.11, 55.51, 6.09			12.99, 52.60, 4.05
8.83, 54.10, 6.13			12.20, 82.06, 6.72
8.99, 47.27, 5.26			12.86, 65.59, 5.10
10.30, 54.97, 5.34			12.18, 84.87, 6.97
10.29, 46.76, 4.54			13.38, 64.21, 4.80
9.61, 49.76, 5.18			12.27, 57.61, 4.69
9.92, 54.87, 5.53			11.86, 58.34, 4.92
10.05, 57.15, 5.69			11.65, 55.03, 4.72
10.16, 52.37, 5.15			12.07, 59.19, 4.91
9.71, 58.56, 6.03			12.42, 58.84, 4.74
9.81, 59.26, 6.04			12.28, 60.08, 4.89
9.29, 53.52, 5.76			12.12, 62.65, 5.17
9.46, 63.77, 6.74			12.31, 50.50, 4.10
9.95, 59.49, 5.98			12.36, 61.34, 4.96
9.57, 57.00, 5.95			13.52, 67.59, 5.00
10.14, 52.16, 5.15			12.12, 59.20, 4.88
9.89, 46.50, 4.70			13.15, 62.12, 4.72
8.83, 47.41, 5.37			12.38, 62.51, 5.05
10.70, 56.96, 5.32			13.21, 59.22, 4.48
10.59, 91.59, 8.65			12.72, 107.53, 8.45
9.34, 50.13, 5.37			12.21, 55.70, 4.56
10.63, 58.83, 5.53			12.09, 88.31, 7.31
10.59, 52.74, 4.98			13.01, 58.45, 4.49
10.14, 52.78, 5.21			12.13, 63.55, 5.24
9.41, 42.57, 4.53			12.54, 62.03, 4.95
9.97, 52.85, 5.30			11.82, 51.85, 4.39
9.88, 60.63, 6.14			11.67, 59.67, 5.11
10.72, 59.52, 5.55			11.43, 62.46, 5.47
9.54, 42.31, 4.43			12.37, 51.03, 4.13
9.98, 54.03, 5.41			13.08, 70.59, 5.40
10.93, 57.21, 5.23			12.52, 62.73, 5.01
9.54, 61.26, 6.42			12.46, 56.01, 4.50
11.48, 57.35, 5.00			11.55, 63.46, 5.49
9.41, 52.19, 5.55			13.26, 67.17, 5.06
9.86, 53.88, 5.47			12.20, 49.08, 4.02
9.62, 59.86, 6.22			12.39, 59.05, 4.76
9.13, 48.12, 5.27			11.62, 71.67, 6.17
10.17, 52.83, 5.20			12.85, 72.67, 5.66
9.54, 51.18, 5.36			12.48, 47.79, 3.83
9.93, 56.09, 5.65			12.30, 62.68, 5.10
10.09, 59.78, 5.92			12.49, 59.87, 4.79
9.66, 50.17, 5.19			12.36, 63.67, 5.15
8.96, 48.11, 5.37			12.99, 82.57, 6.35
10.57, 51.68, 4.89			11.91, 64.62, 5.43
10.32, 53.19, 5.15			13.04, 64.06, 4.91
