NO LOAD			Charger			Bulb
8.69, 64.89, 7.47			10.76, 66.04, 6.13			13.73, 64.12, 4.67
8.27, 45.73, 5.53			10.99, 56.33, 5.13			11.81, 59.86, 5.07
7.75, 53.19, 6.86			9.72, 52.17, 5.37			12.47, 61.19, 4.91
7.89, 49.46, 6.27			11.46, 59.55, 5.19			13.12, 66.22, 5.05
8.04, 43.45, 5.40			9.37, 48.00, 5.12			12.79, 61.39, 4.80
8.69, 54.47, 6.27			10.84, 55.13, 5.08			13.37, 68.87, 5.15
8.06, 44.04, 5.46			10.74, 59.92, 5.58			12.33, 71.25, 5.78
8.40, 54.28, 6.46			9.63, 55.32, 5.74			13.19, 64.51, 4.89
8.25, 50.94, 6.17			10.04, 54.14, 5.39			13.64, 68.78, 5.04
8.06, 44.69, 5.54			10.19, 60.91, 5.98			11.94, 69.63, 5.83
7.93, 56.72, 7.15			10.17, 50.26, 4.94			13.30, 70.86, 5.33
8.52, 55.14, 6.47			10.04, 54.78, 5.46			12.46, 58.02, 4.65
8.16, 52.12, 6.39			10.28, 47.96, 4.67			12.92, 61.65, 4.77
8.69, 51.06, 5.88			9.87, 45.05, 4.57			13.94, 67.32, 4.83
8.69, 54.13, 6.23			9.73, 53.57, 5.51			13.64, 65.53, 4.80
8.54, 51.07, 5.98			10.16, 49.72, 4.89			12.39, 64.81, 5.23
8.69, 55.73, 6.41			10.26, 55.38, 5.40			13.37, 60.56, 4.53
7.60, 40.99, 5.40			9.80, 58.81, 6.00			13.11, 69.50, 5.30
8.80, 56.84, 6.46			10.47, 74.77, 7.14			12.86, 68.54, 5.33
8.03, 52.35, 6.52			10.52, 56.89, 5.41			13.70, 68.52, 5.00
7.80, 46.08, 5.91			10.37, 61.38, 5.92			12.56, 70.02, 5.57
8.82, 50.03, 5.67			9.65, 52.17, 5.41			13.46, 64.52, 4.79
7.72, 53.28, 6.90			10.13, 48.40, 4.78			12.67, 66.08, 5.22
8.78, 55.74, 6.35			9.33, 46.09, 4.94			13.33, 69.29, 5.20
8.29, 47.85, 5.77			10.16, 72.06, 7.09			13.43, 66.44, 4.95
8.38, 50.24, 6.00			10.14, 53.52, 5.28			13.04, 60.62, 4.65
8.99, 55.64, 6.19			11.02, 68.01, 6.17			13.62, 70.45, 5.17
8.34, 57.76, 6.92			10.76, 51.89, 4.83			12.74, 67.30, 5.28
7.57, 39.02, 5.16			9.51, 46.43, 4.88			12.39, 58.55, 4.72
7.54, 44.84, 5.95			10.35, 57.33, 5.54			14.41, 64.38, 4.47
8.48, 58.33, 6.88			10.50, 58.32, 5.55			13.22, 62.17, 4.70
7.97, 47.17, 5.92			10.89, 52.73, 4.84			13.76, 66.41, 4.83
7.98, 45.18, 5.66			10.26, 53.33, 5.20			12.77, 54.06, 4.23
8.64, 55.86, 6.47			10.25, 55.31, 5.40			12.19, 57.01, 4.67
8.67, 48.66, 5.62			10.23, 57.94, 5.67			13.22, 62.20, 4.71
7.99, 50.02, 6.26			10.24, 54.87, 5.36			13.34, 76.69, 5.75
8.89, 52.81, 5.94			10.49, 50.55, 4.82			12.55, 59.86, 4.77
8.15, 55.84, 6.85			9.44, 51.11, 5.41			13.31, 66.78, 5.02
8.76, 49.15, 5.61			10.95, 50.91, 4.65			12.58, 53.61, 4.26
7.76, 44.32, 5.71			10.68, 49.77, 4.66			13.14, 69.01, 5.25
8.16, 52.18, 6.39			9.99, 45.33, 4.54			13.26, 70.66, 5.33
8.77, 49.08, 5.60			10.40, 48.22, 4.64			13.86, 73.78, 5.32
8.32, 49.31, 5.93			11.58, 76.39, 6.59			12.88, 61.39, 4.77
8.54, 62.11, 7.28			9.78, 53.45, 5.46			13.81, 64.49, 4.67
8.34, 52.99, 6.35			10.66, 54.34, 5.10			13.64, 67.09, 4.92
8.54, 57.77, 6.77			10.58, 71.86, 6.79			12.38, 56.48, 4.56
8.12, 46.54, 5.73			10.19, 51.57, 5.06			13.64, 64.82, 4.75
8.24, 47.80, 5.80			10.79, 52.22, 4.84			12.82, 69.71, 5.44
7.52, 42.88, 5.70			10.21, 48.69, 4.77			12.29, 65.84, 5.36
7.42, 52.97, 7.14			10.25, 55.81, 5.44			12.69, 60.62, 4.78
8.52, 50.08, 5.88			10.37, 56.81, 5.48			12.48, 57.35, 4.60
8.47, 53.75, 6.35			10.71, 62.65, 5.85			12.64, 64.68, 5.12
8.72, 49.75, 5.71			10.92, 53.47, 4.90			13.84, 63.00, 4.55
